Time	speed	torque	motor_current	motor_current_thd	motor_voltage	motor_power	line_voltage	line_current	line_power	motor_temperature	Test_Marker	BD_Target_Speed	BD_Target_Accel	BD_Update_Cmd	Mcl_Quantities.Speed_Rot_Mech	Mcl_Quantities.Torque	Mcl_Quantities.Torque_Ref	Mcl_Quantities.Stator_Flux_Mag	Mcl_Quantities.Flux_Ref	Mcl_Quantities.Id_stator_current	Mcl_Quantities.Iq_stator_current	Mcl_Quantities.Id_rotor_current	Rotor_Curr_Iq	Flux_Controller.Out	Torque_Controller.Out	DC_Bus_RMS	Mcl_Quantities.Electrical_Power	Mcl_Quantities.Stator_Temperature	Mcl_Quantities.Is_Abs	Mcl_Quantities.IsRMS	SR_Overheating_Temp	My_Measured_Temp
0.7473	0.0000	-0.0150	0.0109	0.0000	0.3110	-0.0400	230.8290	0.0000	1.3200	46.5749	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
1.4894	0.0000	-0.0150	0.0109	0.0000	0.3100	-0.0400	230.8230	0.0000	1.3200	46.5592	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
2.2250	0.0000	-0.0150	0.0109	0.0000	0.3100	-0.0400	230.8130	0.0000	1.3300	46.5652	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
2.9588	0.0000	-0.0170	0.0109	0.0000	0.3100	-0.0400	230.8090	0.0000	1.3300	46.4917	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
3.6907	0.0000	-0.0170	0.0109	0.0000	0.3100	-0.0400	230.8010	0.0000	1.3200	46.5020	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED	NOT CONNECTED
4.1428	0.0000	-0.0150	0.0109	0.0000	0.3100	-0.0400	230.7990	0.0000	1.3300	46.4350	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0532	-1.6097	0.2559	-1.6247	0.1301	0.0000	0.0000	321.3906	0.0000	39.6318	1.6299	0.0053	50.3776	60.6431
4.4371	0.0000	-0.0150	0.0109	0.0000	0.3100	-0.0400	230.7990	0.0000	1.3300	46.4350	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0532	-1.6097	0.2559	-1.6247	0.1301	0.0000	0.0000	321.3906	0.0000	39.6318	1.6299	0.0053	50.3776	60.6431
4.7644	0.0000	-0.0150	0.0109	0.0000	0.3100	-0.0400	230.7990	0.0000	1.3300	46.4350	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0532	-1.6097	0.2559	-1.6247	0.1301	0.0000	0.0000	321.3406	0.0000	39.6102	1.6299	0.0054	50.3708	60.6431
5.1838	0.0000	-0.0170	0.0109	0.0000	0.3100	-0.0400	230.7930	0.0000	1.3300	46.4404	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0532	-1.6097	0.2559	-1.6247	0.1301	0.0000	0.0000	321.3676	0.0000	39.5907	1.6299	0.0053	50.3708	60.6431
5.3856	0.0000	-0.0170	0.0109	0.0000	0.3100	-0.0400	230.7930	0.0000	1.3300	46.4404	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0532	-1.6097	0.2559	-1.6247	0.1301	0.0000	0.0000	321.3676	0.0000	39.5907	1.6299	0.0053	50.3708	60.6431
5.9298	0.0000	-0.0180	0.0109	0.0000	0.3100	-0.0400	230.7900	0.0000	1.3200	46.4115	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0532	-1.6097	0.2559	-1.6247	0.1301	0.0000	0.0000	321.3757	0.0000	39.5732	1.6299	0.0052	50.3640	60.6431
6.0071	0.0000	-0.0180	0.0109	0.0000	0.3100	-0.0400	230.7900	0.0000	1.3200	46.4115	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0532	-1.6097	0.2559	-1.6247	0.1301	0.0000	0.0000	321.3757	0.0000	39.5732	1.6299	0.0052	50.3640	60.6431
6.6291	0.0000	-0.0160	0.0109	0.0000	0.3100	-0.0400	230.7890	0.0000	1.3100	46.4023	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0532	-1.6097	0.2559	-1.6247	0.1301	0.0000	0.0000	321.3676	0.0000	39.5579	1.6299	0.0054	50.3573	60.6431
6.6637	0.0000	-0.0160	0.0109	0.0000	0.3100	-0.0400	230.7890	0.0000	1.3100	46.4023	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0532	-1.6097	0.2559	-1.6247	0.1301	0.0000	0.0000	321.3676	0.0000	39.5579	1.6299	0.0054	50.3573	60.6431
7.2344	0.0000	-0.0170	0.0109	0.0000	0.3100	-0.0400	230.7880	0.0000	1.3200	46.3543	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0532	-1.6097	0.2559	-1.6247	0.1301	0.0000	0.0000	321.3203	0.0000	39.5434	1.6299	0.0053	50.3573	60.6431
7.4074	0.0000	-0.0170	0.0109	0.0000	0.3100	-0.0400	230.7880	0.0000	1.3200	46.3543	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0532	-1.6097	0.2559	-1.6247	0.1301	0.0000	0.0000	321.3203	0.0000	39.5434	1.6299	0.0053	50.3573	60.6431
7.8393	0.0000	-0.0150	0.0109	0.0000	0.3100	-0.0400	230.7860	0.0000	1.3300	46.3317	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0532	-1.6097	0.2559	-1.6247	0.1301	0.0000	0.0000	321.3243	0.0000	39.5307	1.6299	0.0052	50.3505	60.6431
8.1496	0.0000	-0.0150	0.0109	0.0000	0.3100	-0.0400	230.7860	0.0000	1.3300	46.3317	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0532	-1.6097	0.2559	-1.6247	0.1301	0.0000	0.0000	321.3243	0.0000	39.5307	1.6299	0.0052	50.3505	60.6431
8.4611	0.0000	-0.0150	0.0109	0.0000	0.3100	-0.0400	230.7860	0.0000	1.3300	46.3317	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0532	-1.6097	0.2559	-1.6247	0.1301	0.0000	0.0000	321.3324	0.0000	39.5192	1.6299	0.0053	50.3438	60.6431
8.8935	0.0000	-0.0180	0.0109	0.0000	0.3100	-0.0400	230.7850	0.0000	1.3200	46.3314	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0532	-1.6097	0.2559	-1.6247	0.1301	0.0000	0.0000	321.3419	0.0000	39.5081	1.6299	0.0053	50.3438	60.6431
9.0824	0.0000	-0.0180	0.0109	0.0000	0.3100	-0.0400	230.7850	0.0000	1.3200	46.3314	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0532	-1.6097	0.2559	-1.6247	0.1301	0.0000	0.0000	321.3419	0.0000	39.5081	1.6299	0.0053	50.3438	60.6431
9.6279	0.0000	-0.0160	0.0109	0.0000	0.3100	-0.0400	230.7840	0.0000	1.3300	46.2689	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0532	-1.6097	0.2559	-1.6247	0.1301	0.0000	0.0000	321.3473	0.0000	39.4977	1.6299	0.0054	50.3370	60.6431
9.7199	0.0000	-0.0160	0.0109	0.0000	0.3100	-0.0400	230.7840	0.0000	1.3300	46.2689	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0532	-1.6097	0.2559	-1.6247	0.1301	0.0000	0.0000	321.3473	0.0000	39.4977	1.6299	0.0054	50.3370	60.6431
10.3421	0.0000	-0.0160	0.0109	0.0000	0.3100	-0.0400	230.7850	0.0000	1.3200	46.2660	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0532	-1.6097	0.2559	-1.6247	0.1301	0.0000	0.0000	321.2824	0.0000	39.4885	1.6299	0.0057	50.3370	60.6431
10.3719	0.0000	-0.0160	0.0109	0.0000	0.3100	-0.0400	230.7850	0.0000	1.3200	46.2660	NOT CONNECTED	0.0000	450.0000	0.0000	0.0000	0.0000	0.0000	0.0931	0.0532	-1.6097	0.2559	-1.6247	0.1301	0.0000	0.0000	321.2824	0.0000	39.4885	1.6299	0.0057	50.3370	60.6431
